_id,endereco,latitude,longitude
cam-172-25-127-202,"Centro Integrado de Segurança Pública - Av. Aguanambi - Aeroporto, Fortaleza - CE, 60415-390",-3.7593,-38.5241
cam-172-25-127-203,"Centro Integrado de Segurança Pública - Av. Aguanambi - Aeroporto, Fortaleza - CE, 60415-390",-3.7593,-38.5241
cam-172-25-127-204,"Centro Integrado de Segurança Pública - Av. Aguanambi - Aeroporto, Fortaleza - CE, 60415-390",-3.7593,-38.5241
cam-172-25-127-205,"Centro Integrado de Segurança Pública - Av. Aguanambi - Aeroporto, Fortaleza - CE, 60415-390",-3.7593,-38.5241
cam-172-25-127-208,"Centro Integrado de Segurança Pública - Av. Aguanambi - Aeroporto, Fortaleza - CE, 60415-390",-3.7593,-38.5241
cam-172-25-127-210,"Centro Integrado de Segurança Pública - Av. Aguanambi - Aeroporto, Fortaleza - CE, 60415-390",-3.7593,-38.5241
cam-172-25-127-229,"Centro Integrado de Segurança Pública - Av. Aguanambi - Aeroporto, Fortaleza - CE, 60415-390",-3.7593,-38.5241
cam-172-25-127-209,"Centro Integrado de Segurança Pública - Av. Aguanambi - Aeroporto, Fortaleza - CE, 60415-390",-3.7593,-38.5241
cam-172-25-127-221,"Centro Integrado de Segurança Pública - Av. Aguanambi - Aeroporto, Fortaleza - CE, 60415-390",-3.7593,-38.5241
cam-172-25-127-223,"Centro Integrado de Segurança Pública - Av. Aguanambi - Aeroporto, Fortaleza - CE, 60415-390",-3.7593,-38.5241
cam-172-25-127-224,"Centro Integrado de Segurança Pública - Av. Aguanambi - Aeroporto, Fortaleza - CE, 60415-390",-3.7593,-38.5241
cam-172-25-127-228,"Centro Integrado de Segurança Pública - Av. Aguanambi - Aeroporto, Fortaleza - CE, 60415-390",-3.7593,-38.5241
cam-172-25-127-231,"Centro Integrado de Segurança Pública - Av. Aguanambi - Aeroporto, Fortaleza - CE, 60415-390",-3.7593,-38.5241
cam-45-226-37-177-transcoded,"Rua Paulo Sá, s/n - Ponto de referência: Entrada estacionamento ´E´ Arvorar",-3.907932,-38.431804
cam-45-226-37-177-7776-transcoded,"Rua Paulo Sá, s/n - Ponto de referência: Entrada estacionamento ´E´ Arvorar",-3.907932,-38.431804
cam-45-226-37-180-7772-transcoded,"Jardins - Rua João de Castro, 950 - Ponto de referência: Igreja Capela São Francisco",-3.900628,-38.437929
cam-172-25-127-238-80-transcoded,"Centro Integrado de Segurança Pública - Av. Aguanambi - Aeroporto, Fortaleza - CE, 60415-390",-3.7593,-38.5241
cam-45-226-37-180-7771-transcoded,"Jardins - Rua João de Castro, 950 - Ponto de referência: Igreja Capela São Francisco",-3.900628,-38.437929
cam-45-226-37-219-7778-transcoded,"Reserva: Av José Jorge Vieira, s/n",-3.901633,-38.42874
cam-45-226-37-219-7779-transcoded,"Av José Jorge Vieira, s/n",-3.901633,-38.42874
cam-45-226-37-196-7777-transcoded,Calçadão Beira Lago do Mato - Ponto de referência: Creperia da Vila,-3.908595,-38.431403
cam-192-168-170-81,ROTATORIA DO ASSAI,-3.85236,-38.58798
cam-192-168-170-82,ROTATORIA DO BANDEIRANTE,-3.87621,-38.59521
cam-192-168-170-83,R. CAP. VALDEMAR DE LIMA,-3.87545,-38.62295
cam-192-168-170-84,RUA ANTONIO DE ALENCAR X R. CAP VALDEMAR DE LIMA,-3.8776,-38.62441
cam-192-168-170-86,"TA LIMPO MARACANAU, AV. PADRE JOSE HOLANDA DO VALE",-3.87547,-38.62713
