id,tipo_desc,latitude,longitude,created_at
M20260142094,FURTO,-3.761715278207085,-38.51713175374199,2026-02-25 01:42:33.923 -0300
M20260142092,DISPARO DE ARMA,-3.8357397558418884,-38.56009095448138,2026-02-25 01:42:33.938 -0300
M20260142089,ROUBO,-3.7370590922520135,-38.488735938443554,2026-02-25 01:42:33.943 -0300
M20260142105,TRÁFICO,-3.8325158563245907,-38.517502116520475,2026-02-25 02:02:35.442 -0300
M20260142113,DISPARO DE ARMA,-5.732616004271137,-39.00965082322468,2026-02-25 02:13:09.637 -0300
M20260147680,LESÃO CORPORAL,-4.4662329757687536,-38.89992452936432,2026-02-25 16:41:48.289 -0300
M20260142126,PORTE ILEGAL DE ARMA,-4.92159946901189,-37.981246160710086,2026-02-25 03:03:37.285 -0300
M20260142164,PORTE ILEGAL DE ARMA,-3.72480317317943,-38.52432489598893,2026-02-25 04:12:31.405 -0300
M20260108485,ROUBO DE VEÍCULO,-3.7620374227084428,-38.5860444665023,2026-02-19 10:07:15.485 -0300
M20260147632,TRÁFICO,-3.7279661959329764,-38.581398536011704,2026-02-25 16:41:48.865 -0300
M20260147614,DISPARO DE ARMA,-6.604471119265691,-39.060838273351024,2026-02-25 16:41:48.876 -0300
M20260147762,PORTE ILEGAL DE ARMA,-4.095726239119645,-38.49340665778717,2026-02-25 16:51:10.921 -0300
M20260108510,FURTO,-7.267403588777299,-39.33462391398495,2026-02-19 10:07:15.505 -0300
M20260108514,PORTE ILEGAL DE ARMA,-7.239717813474147,-39.33166720934787,2026-02-19 10:07:15.510 -0300
M20260108529,FURTO,-3.723729103376969,-38.765312320449766,2026-02-19 10:07:15.550 -0300
M20260108533,TRÁFICO,-3.7612595929870323,-38.549301870802395,2026-02-19 10:07:15.556 -0300
M20260108535,ROUBO,-3.7851168598944733,-38.581512336708336,2026-02-19 10:07:15.562 -0300
M20260108542,PORTE ILEGAL DE ARMA,-5.1463418700708115,-38.09616327534502,2026-02-19 10:07:15.567 -0300
M20260108564,FURTO,-3.7484873010840936,-38.52547872187782,2026-02-19 10:07:15.573 -0300
M20260147977,TRÁFICO,-3.6935320271362033,-40.359765281420145,2026-02-25 17:01:12.314 -0300
M20260147952,TRÁFICO,-3.71658657590856,-38.549231477047876,2026-02-25 17:01:12.323 -0300
M20260147860,FURTO EM VEÍCULO,-3.876255367146252,-38.584497194948185,2026-02-25 17:01:12.330 -0300
M20260108600,ROUBO DE VEÍCULO,-4.789052001507517,-40.06018320283283,2026-02-19 10:07:15.600 -0300
M20260108612,TRÁFICO,-3.494438568469076,-39.58730359122118,2026-02-19 10:07:15.605 -0300
M20260108620,ROUBO,-3.7615193923690873,-38.59097808131314,2026-02-19 10:07:15.616 -0300
M20260108642,PORTE ILEGAL DE ARMA,-3.692375607830664,-40.3612388973535,2026-02-19 10:07:15.621 -0300
M20260108649,PORTE ILEGAL DE ARMA,-3.494366630061646,-39.58747748256018,2026-02-19 10:07:15.626 -0300
M20260108664,PORTE ILEGAL DE ARMA,-3.8711858225628513,-38.62476036255173,2026-02-19 10:07:15.631 -0300
M20260108676,PORTE ILEGAL DE ARMA,-3.6913172845348554,-40.35039351706733,2026-02-19 10:07:15.636 -0300
M20260108678,FURTO,-7.2335866036491066,-39.33007229033547,2026-02-19 10:07:15.641 -0300
M20260149943,PORTE ILEGAL DE ARMA,-3.822408761561728,-38.47705163861202,2026-02-25 19:31:14.555 -0300
M20260149870,TENTATIVA DE HOMICÍDIO,-3.784569668853235,-38.615686182727934,2026-02-25 19:31:14.619 -0300
M20260150070,LESÃO CORPORAL,-3.7837176685871166,-38.621470152586234,2026-02-25 19:41:14.115 -0300
M20260108677,ROUBO,-3.738794753376363,-38.51638985308563,2026-02-19 10:07:15.647 -0300
M20260108684,PORTE ILEGAL DE ARMA,-3.4666540700456405,-40.678076812695394,2026-02-19 10:07:15.653 -0300
M20260148248,TRÁFICO,-3.7906199078685017,-38.483433337601916,2026-02-25 17:21:15.533 -0300
M20260108736,DANOS/DEPREDAÇÃO,-4.938773560083165,-37.974269003666834,2026-02-19 10:07:15.663 -0300
M20260108741,ROUBO,-3.713385362086268,-38.591778885977575,2026-02-19 10:07:15.668 -0300
M20260108746,TRÁFICO,-3.408182676255271,-39.03038716183777,2026-02-19 10:07:15.673 -0300
M20260108751,TRÁFICO,-4.966543232648922,-39.015989091819456,2026-02-19 10:07:15.678 -0300
M20260108767,LESÃO CORPORAL,-3.8176204093177653,-38.524194011676286,2026-02-19 10:07:15.682 -0300
M20260108772,TRÁFICO,-4.828252352013899,-37.780392919776915,2026-02-19 10:07:15.687 -0300
M20260108793,TRÁFICO,-3.7277856723105973,-38.6616044671983,2026-02-19 10:07:15.692 -0300
M20260108818,PORTE ILEGAL DE ARMA,-5.1979091904847605,-39.295213724918234,2026-02-19 10:07:15.702 -0300
M20260108817,PORTE ILEGAL DE ARMA,-4.313345509684635,-38.74199508674848,2026-02-19 10:07:15.706 -0300
M20260108823,ROUBO DE VEÍCULO,-3.7041470424178677,-40.33567453888371,2026-02-19 10:07:15.711 -0300
M20260108836,LESÃO CORPORAL,-3.8177713438587566,-38.476782818285535,2026-02-19 10:07:15.717 -0300
M20260108837,TRÁFICO,-3.915388270574459,-40.39026828340505,2026-02-19 10:07:15.722 -0300
M20260108839,LESÃO CORPORAL,-3.707571822098018,-38.56703816168051,2026-02-19 10:07:15.727 -0300
M20260108841,LESÃO CORPORAL,-3.8177713438587566,-38.476782818285535,2026-02-19 10:07:15.732 -0300
M20260108847,PORTE ILEGAL DE ARMA,-3.8230524584067185,-38.47049206711083,2026-02-19 10:07:15.737 -0300
M20260108849,PORTE ILEGAL DE ARMA,-3.831641649180907,-38.46507424090919,2026-02-19 10:07:15.742 -0300
M20260108862,TRÁFICO,-7.203884463990153,-39.30724897185715,2026-02-19 10:07:15.751 -0300
M20260148226,TRÁFICO,-3.752003304393412,-38.57684610895373,2026-02-25 17:21:15.573 -0300
M20260108870,PORTE ILEGAL DE ARMA,-3.831641649180907,-38.46507424090919,2026-02-19 10:07:15.760 -0300
M20260108871,FURTO,-3.7258781206939617,-38.662206043034644,2026-02-19 10:07:15.765 -0300
M20260148160,FURTO,-3.6819475373646147,-40.35038667258661,2026-02-25 17:21:15.580 -0300
M20260108906,LESÃO CORPORAL,-4.988241434979593,-39.020918247292656,2026-02-19 10:07:15.774 -0300
M20260150050,TRÁFICO,-3.7100483184396102,-40.9759366044974,2026-02-25 19:41:14.160 -0300
M20260108918,FURTO DE VEÍCULO,-4.158127961250517,-40.75765700878548,2026-02-19 10:07:15.784 -0300
M20260150021,PORTE ILEGAL DE ARMA,-3.822408761561728,-38.47705163861202,2026-02-25 19:41:14.167 -0300
M20260108939,LESÃO CORPORAL,-4.968052034301812,-39.01580944160382,2026-02-19 10:07:15.793 -0300
M20260173696,ROUBO DE VEÍCULO,-3.7998347596434336,-38.54317165187852,2026-02-27 01:31:12.286 -0300
M20260108978,FURTO,-3.7698297525347715,-38.481608289314316,2026-02-19 10:07:15.802 -0300
M20260173670,LESÃO CORPORAL,-3.6313953735013853,-40.51845418712663,2026-02-27 01:31:12.325 -0300
M20260109017,PORTE ILEGAL DE ARMA,-3.688299305477895,-40.538967996933806,2026-02-19 10:07:15.811 -0300
M20260173608,FURTO,-3.730661688334985,-38.575445101833694,2026-02-27 01:31:12.330 -0300
M20260109051,TRÁFICO,-7.2348226934385425,-39.33244807835251,2026-02-19 10:07:15.816 -0300
M20260109078,FURTO DE VEÍCULO,-3.7734641946559773,-38.62792429731539,2026-02-19 10:07:15.820 -0300
M20260109128,TRÁFICO,-3.7373299965060798,-38.51308970801516,2026-02-19 10:07:15.824 -0300
M20260109152,FURTO,-3.6817155359916702,-40.34813249309076,2026-02-19 10:07:15.829 -0300
M20260109158,TRÁFICO,-3.727706041113497,-38.58145710429304,2026-02-19 10:07:15.833 -0300
