"ocorrencia","tipo_desc","latitude","longitude","created_at"
M20260294225,DISPARO DE ARMA,-3.8631688766550423,-38.47482782888476,2026-04-15 14:30:28.880 -0300
M20260293952,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7674166081410783,-38.59608480080677,2026-04-15 09:40:28.727 -0300
M20260293943,PORTE ILEGAL DE ARMA,-7.2181186657913115,-39.325551313227045,2026-04-15 09:40:28.763 -0300
M20260293957,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.500243171798106,-39.58223628490588,2026-04-15 09:50:29.750 -0300
M20260293969,PORTE ILEGAL DE ARMA,-3.8342293793377404,-38.48592478220212,2026-04-15 10:00:28.763 -0300
M20260293981,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.764537572827807,-38.4888734274141,2026-04-15 10:10:28.920 -0300
M20260293976,TRÁFICO,-3.6984175384480924,-40.368964339912594,2026-04-15 10:10:28.954 -0300
M20260293975,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.804337579956935,-38.563449686477796,2026-04-15 10:10:28.958 -0300
M20260293974,ROUBO,-3.7712065107088653,-38.56969095906308,2026-04-15 10:10:28.961 -0300
M20260293973,FURTO,-3.7258939399845743,-38.54500070405431,2026-04-15 10:10:28.965 -0300
M20260293988,ROUBO,-3.720205216918543,-38.59588598218129,2026-04-15 10:20:27.393 -0300
M20260293987,FURTO,-3.715220384669982,-38.59469207449529,2026-04-15 10:20:27.426 -0300
M20260293985,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.677740169850376,-38.66857687028854,2026-04-15 10:20:27.429 -0300
M20260293993,MARIA DA PENHA,-3.5979954214964533,-39.43454682125215,2026-04-15 10:30:29.657 -0300
M20260293992,MARIA DA PENHA,-3.7992373958367187,-38.50517523730757,2026-04-15 10:30:29.691 -0300
M20260293991,GRUPO CRIMINOSO,-3.752236749431356,-38.557081979036624,2026-04-15 10:30:29.694 -0300
M20260294006,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7589020948713614,-38.65851838154315,2026-04-15 10:50:30.328 -0300
M20260294014,PORTE ILEGAL DE ARMA,-3.739726768912882,-38.59302473107065,2026-04-15 11:00:29.260 -0300
M20260294010,ROUBO,-3.8215840057582104,-38.55882945154137,2026-04-15 11:00:29.293 -0300
M20260294038,PORTE ILEGAL DE ARMA,-3.6972176511786254,-40.36695865529668,2026-04-15 11:20:29.060 -0300
M20260294035,ROUBO,-3.7368970732343296,-38.501603514359296,2026-04-15 11:20:29.095 -0300
M20260294034,TENTATIVA DE HOMICÍDIO,-5.1979091904847605,-39.295213724918234,2026-04-15 11:20:29.099 -0300
M20260294030,FURTO DE VEÍCULO,-3.669578660107156,-40.34187617844417,2026-04-15 11:20:29.102 -0300
M20260294029,TRÁFICO,-3.7790632487504188,-40.49840108541485,2026-04-15 11:20:29.105 -0300
M20260294043,MARIA DA PENHA,-3.8015206980664082,-38.59869494359142,2026-04-15 11:30:28.859 -0300
M20260294042,MARIA DA PENHA,-3.870522553979,-38.58701148053701,2026-04-15 11:30:28.863 -0300
M20260294041,PERTURBAÇÃO AO SOSSEGO ALHEIO,-6.012329256873767,-40.29756768288455,2026-04-15 11:30:28.867 -0300
M20260294050,MARIA DA PENHA,-3.788205322876773,-38.61559731050945,2026-04-15 11:40:28.772 -0300
M20260294048,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.691282877988551,-38.604283561770146,2026-04-15 11:40:28.806 -0300
M20260294066,CONSUMO DE ENTORPECENTES,-7.221009700289209,-39.31364159625399,2026-04-15 12:00:28.754 -0300
M20260294079,MARIA DA PENHA,-7.232996493913188,-39.325371828602556,2026-04-15 12:10:30.047 -0300
M20260294089,TRÁFICO,-3.751176961521925,-38.57961115700661,2026-04-15 12:20:29.000 -0300
M20260294088,PORTE ILEGAL DE ARMA,-5.1463418700708115,-38.09616327534502,2026-04-15 12:20:29.033 -0300
M20260294087,PORTE ILEGAL DE ARMA,-5.143901297361348,-38.098771564730974,2026-04-15 12:20:29.036 -0300
M20260294108,MARIA DA PENHA,-3.7438780190141596,-38.616806670623376,2026-04-15 12:30:31.611 -0300
M20260294107,EMBRIAGUEZ E DESORDEM,-5.126099232705637,-39.73216877722657,2026-04-15 12:30:31.647 -0300
M20260294106,ROUBO,-3.8572174333992346,-38.63786567117815,2026-04-15 12:30:31.651 -0300
M20260294104,PORTE ILEGAL DE ARMA,-3.7538839569552818,-38.65464559546845,2026-04-15 12:30:31.654 -0300
M20260294098,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.812926562289517,-38.58160539289835,2026-04-15 12:30:31.657 -0300
M20260294113,FURTO DE VEÍCULO,-3.8462273847247643,-38.655059746339035,2026-04-15 12:40:28.752 -0300
M20260294112,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7392960318554924,-38.53457435121706,2026-04-15 12:40:28.789 -0300
M20260294131,PORTE ILEGAL DE ARMA,-5.185605878452307,-39.28865662354885,2026-04-15 13:00:29.335 -0300
